Role,Location,Min Salary,Max Salary,Recruiter,Salary_Text,Description
Veterinary Surgeon,"Royston, Hertfordshire",60,,Reed Veterinary Surgery,Salary: £60k dependent on experience,Small and welcoming independent practice require a fifth vet to join our efficient team.
Veterinary Surgeon,"Weston-Super-Mare, Somerset",75000,75000,Green Pastures Veterinary Centre,"Salary up to £75,000 per annum depending on experience","Our busy, first opinion practice in Weston-Super-Mare is excited to be recruiting an additional full-time vet."
Clinical Specialist,"Marden, Kent",60000,80000,Burtons Medical Equipment Ltd,"Salary of £60,000 to £80,000 per annum dependent on experience",This is an excellent opportunity for an MRCVS with a strong interest in anaesthesia to join Burtons as a part of the Clinical Development Team.
Veterinary Surgeon,Falkirk (County),58000,58000,Lawrie Veterinary Group,"Salary up to £58,000 depending on experience",We have a fantastic opportunity for an exotic and small animal Veterinary Surgeon to join our friendly and supportive team.
Veterinary Surgeon,"Clydebank, West Dunbartonshire",60000,60000,Boyce & Houston Vets,"Salary up to £60,000 depending on experience","Here at Boyce & Houston Vets, we have an excellent opportunity for an experienced Veterinary Surgeon to join our team!"
Veterinary Surgeon,Durham (County),65000,65000,"Abbey Vets Centre, Chester-le-Street","Salary up to £65,000 depending on experience",We are looking for a Veterinary Surgeon who is as enthusiastic about animal care as we are!
"Hospital Lead Veterinary Surgeon (Buckhurst Hill, London)","Buckhurst Hill, United Kingdom",70000,,Palmerston Vets Buckhurst Hill,"£70,000 per annum, From, depending on experience",Palmerston Veterinary Group is a busy first opinion practice with a long-established support team and client base. We are proud to have joined th...
"Lead Veterinary Surgeon (Oakhill, London)","Woodford Green, United Kingdom",65000,65000,Palmerston Vets Buckhurst Hill,"£65,000 per annum, Up to, depending on experience","Our Oakhill Surgery provides their clients with essential services, such as routine operations, radiographs, dental treatment, day patient care, n..."
Lead Veterinary Surgeon (Romford),"Hornchurch, United Kingdom",70000,70000,Palmerston Vets Buckhurst Hill,"£70,000 per annum, Up to, depending on experience","We opened the Romford Veterinary Surgery in Hornchurch in March 2009, they are a busy well established branch surgery with a great support team an..."
Veterinary Surgeon,"Romsey, Hampshire",65000,65000,Orchard Veterinary Surgery,"Salary up to £65,000 depending on experience",This is an exciting and rare opportunity for a Veterinary Surgeon to join a long-established practice in Romsey.
Veterinary Surgeon,"Hertfordshire, United Kingdom",,,Vets4Pets,Competitive Salary,We are looking for a personable veterinary surgeon to join our friendly and busy team in Hatfield Vets for Pets on a Full or Part time basis! You w...
Veterinary Surgeon,"Ely, United Kingdom",,,Vets4Pets,Competitive Salary,"We are looking for a first opinion small animal experienced vet to join our happy and vibrant team at Cathedral Vets Ely, part of the Companion Car..."
Veterinary Surgeon - Orthopaedic,"Thurmaston, Leicester",55000,75000,Medivet,"£55,000 - £75,000 per year",Are you aspiring to build your own soft tissue and orthopaedic caseload? Would you like to support the growth of a refurbished practice?
Veterinary Surgeon,"Thurmaston, Leicester",40000,72000,Medivet,"£40,000 - £72,000 per year",Would you like to support with the growth of a newly refurbished 24-hour practice?
Veterinary Surgeon,"St Neots, Cambridgeshire",40000,55000,Medivet,"£40,000 - £55,000 per year","You will play a pivotal role in diagnosing, treating and managing various medical conditions in small animal caseload."
Veterinary Surgeon,"Impington, Cambridge",55000,55000,Medivet,"Upto £55,000 per year",The Opportunity  Do the tranquil surroundings of historical Cambridgeshire appeal to you?  Medivet Impington is a small and friendly practice on th...
Veterinary Surgeon,"Maidenhead, Berkshire",74000,74000,Active Vetcare Group (Summerleaze Veterinary Hospital),"Salary up to £74,000 depending on experience",We have a new opportunity for an experienced veterinary surgeon to join our friendly team at our RCVS accredited 24 hour hospital in Maidenhead.
Veterinary Surgeon,"St Andrews, Fife",60000,60000,Provost Vet Group,"Salary up to £60,000 depending on experience","Here at Provost Veterinary Group, we are looking for a Veterinary Surgeon to join our supportive and friendly team in St Andrews."
Lead Veterinary Surgeon,"Whittlesey, Peterborough",60000,75000,Medivet,"£60,000 - £75,000 per year","As the Lead Veterinary Surgeon, you will play a pivotal role in overseeing the veterinary team and ensuring the provision of exceptional care."
Lead Veterinary Surgeon,"Thurmaston, Leicester",60000,75000,Medivet,"£60,000 - £75,000 per year plus Lead Vet Contribution Scheme","The Lead Veterinary Surgeon, you will play a pivotal role in overseeing the veterinary team and ensuring the provision of exceptional medical care."
Lead Veterinary Surgeon- Shepshed,"Shepshed, Loughborough",60000,75000,Medivet,"£60,000 - £75,000 per year","As the Lead Veterinary Surgeon, you will play a pivotal role in overseeing the veterinary team and ensuring the provision of exceptional care."
Veterinary Surgeon - Frimley Green,"Frimley Green, Camberley",60000,60000,Medivet,"Salary package up to £60,000 dependent on experience","Vet Surgeon - Full Time, Frimley Green, Lead Vet Christopher has a GP certificate in Dermatology."
Veterinary Surgeon - Guildford,"Guildford, Surrey",65000,65000,Medivet,"Salary package up to £65,000 dependent on experience",Full or part time Vet Surgeon - Guildford - full time salary up to £65k. Working alongside experienced LV Marta.
Veterinary Surgeon,"Cornwall, United Kingdom",,,Vets4Pets,Competitive Salary,We have an unmissable opportunity for a veterinary surgeon to join our team here in Penzance Vets4Pets. In addition to a rewarding role in a superb...
Veterinary Surgeon,"Essex, United Kingdom",,,Vets4Pets,Competitive Salary,Our thriving small animal surgery in Thurrock is seeking a veterinary surgeon to join our friendly and established team! About us Our practice has...
Veterinary Surgeon,"Essex, United Kingdom",,,Vets4Pets,Competitive Salary,"Braintree Vets for Pets are looking for a Vet to join their friendly, experienced, and supportive team on a full or part time basis. About us Atten..."
Graduate Veterinary Surgeon - Graduate Development Programme,"Leicestershire, United Kingdom",,,Vets4Pets,Competitive Salary,"Our support, Your Future Get practice ready with Vets for Pets and Companion Care Loughborough Vets for Pets is looking for a graduate vet to join..."
Veterinary Surgeon,"East Midlands, United Kingdom",,,Vets4Pets,Competitive Salary,"We have an exciting opportunity for a Veterinary Surgeon to come and join our unique practice! About us Here at Clifton Vets for Pets, our ethos is..."
Veterinary Surgeon,"East Midlands, United Kingdom",,,Vets4Pets,Competitive Salary,If you are an experienced Veterinary Surgeon looking for somewhere that you want to feel appreciated and part of a team or you are wanting to regai...
Veterinary Surgeon,"Nottinghamshire, United Kingdom",,,Vets4Pets,Competitive Salary,An exciting opportunity has arisen for an enthusiastic small animal Vet to come join our team at Eastwood Vets for Pets! We are currently looking f...
Graduate Veterinary Surgeon - Graduate Development Programme,"West Yorkshire, United Kingdom",,,Vets4Pets,Competitive Salary,Get practice ready with Vets for Pets and Companion Care Leeds Birstall 24/7 hospital is looking for a recent/new graduate or 2 years qualified vet...
Veterinary Surgeon,"Fife, United Kingdom",,,Vets4Pets,Competitive Salary,"Are you looking for a change due to being overbooked, unsupported and on the pathway to burnout? Do you enjoy the varied challenge of being a great..."
Veterinary Surgeon,"East Kilbride, United Kingdom",,,Vets4Pets,Competitive Salary,Experience Veterinary Surgeon - Full or Part Time (flexible shift Patterns) East Kilbride Vets4Pets Overview Modern and well equipped Small Animal...
Veterinary Surgeon,"Ludlow, Shropshire",65000,70000,Medivet,"£65,000 to £70,000 per year","Veterinary Surgeon, Ludlow - £65,000 to £70,000 per year"
Veterinary Surgeon,"Stroud Green, London (Greater)",60000,70000,Medivet,"£60,000 - £70,000 per year","The Opportunity Medivet Stroud Green is a small, friendly 1st opinion practice based in North London. We are recruiting for a Maternity Cover contr..."
Veterinary Surgeon - Kensington,"Kensington and Chelsea, London (Greater)",75000,75000,Medivet,"Salary up to £75,000 per year, depending on experience","The Opportunity If you’re a certificate holder, with a passion for consulting and building client relationships we have the role for you! Medivet K..."
Lead Veterinary Surgeon (Hatch End),"Pinner, United Kingdom",65000,,Blythwood Vets,"£65,000 per annum, Flexible, depending on experience and rota","Lead Veterinary Surgeon. Location:500 Uxbridge Road, Pinner, Middlesex, HA5 4SL. Hours:Full time. Practice:Blythwood Vets Hatch End. Blythwood Vets..."
Consultations Lead Veterinary Surgeon (Stanmore),"Stanmore, United Kingdom",55000,,Blythwood Vets,"£55,000 per annum, Flexible, depending on experience and rota","Consultations Lead Veterinary Surgeon Location:103-105 Stanmore Hill, Stanmore Hours:Full time or Part time Practice: Blythwood Vets Stanmore No OO..."
Consultations Lead Veterinary Surgeon (Northwood),"Northwood, United Kingdom",55000,,Blythwood Vets,"£55,000 per annum, Flexible, depending on experience and rota","Consultations Lead Veterinary Surgeon. Location:Northwood, HA6 3HA. Hours:Full time or Part time. Practice:Blythwood Vets Northwood. No OOH. Blythw..."
Veterinary Surgeon,"Eastbourne, United Kingdom",65000,,St Anne's Veterinary Group,"£65,000 per annum, Depending on experience","For over 70 years, we have been Eastbourne's largest veterinary practice, employing 10 Vets and 20 Veterinary Nurses . We are RCVS accredited, and..."
Veterinary Surgeon,"Woodmancote, Cheltenham",55000,,Woodmancote Veterinary Surgery,"Salary from £55,000 per annum","If you’re looking to work in a stunning location, which combines the rural beauty of Woodmancote village and the busy and famous Cheltenham..."
Veterinary Surgeon - Southwark,"Southwark, London (Greater)",55000,55000,Medivet,"Salary up to £55,000 per year","Develop your diagnostic skills with our brand new ultrasound, work alongside our experienced vet and medicine certificate holder."
Graduate Veterinary Surgeon - Graduate Development Programme,"West Midlands, United Kingdom",,,Vets4Pets,Competitive Salary,"Our Support, Your Future Join our 2024 Graduate Development Programme Our award-winning, 2-year programme is designed by vets to give new graduates..."
Veterinary Surgeon,"Lincolnshire, United Kingdom",,,Vets4Pets,Competitive Salary,"Grimsby Vet for Pets are looking for an experienced Veterinary Surgeon to join them, consult only possible, paying up to £65,000. Grimsby Vets for..."
Veterinary Surgeon,"Dulwich, London (Greater)",55000,55000,Medivet,"Salary up to £55,000 per annum, depending on experience","Exciting, varied role, working in two fantastic teams with AVP in Soft Tissue Surgery, GpCert Cardiology."
Veterinary Surgeon,"Tividale, Oldbury",64500,64500,"White Cross Vets, Tividale","Salary up to £64,500 FTE depending on experience",We have an exciting opening for a Veterinary Surgeon to join our friendly team at White Cross Tividale in the West Midlands.
Veterinary Surgeon,"Tamworth, United Kingdom",2000,68000,Riversmeet Vets,"£68,000 per annum, £2,000 welcome bonus, Salary up to and depending on experience","Riversmeet Veterinary Centre was established over 100 years ago and is a small animal, primary care practice in Staffordshire and Warwickshire, wi..."
Ambulatory Equine Veterinary Surgeon,"Baschurch, Shrewsbury",40000,40000,Fyrnwy Equine Clinic,"Salary up to £40,000 depending on experience",Are you a passionate and driven veterinary surgeon looking to take the next step in your career?
Veterinary Surgeon,"Norwich, Norfolk",65000,65000,Taverham Vets,"Salary up to £65,000 depending on experience",Taverham Veterinary Practice has an exciting opportunity for a GP small animal Vet to join our friendly team on a permanent basis.
Veterinary Surgeon,"Essex, United Kingdom",,,Vets4Pets,Competitive Salary,Harlow Vets for Pets has an exciting opportunity for a personable and approachable Veterinary Surgeon to join our fabulous and supportive team! Abo...
Veterinary Surgeon,"Hertfordshire, United Kingdom",,,Vets4Pets,Competitive Salary,"If you are a Vet looking for an exciting new opportunity, then we would love to hear from you! We are looking for an enthusiastic and experienced V..."
Veterinary Surgeon,"Peterborough, United Kingdom",,,Vets4Pets,Competitive Salary,"Our locally owned, progressive practice based in the Cathedral city of Peterborough, is looking for a Veterinary Surgeon to join our friendly team...."
Veterinary Surgeon,"Nottingham, United Kingdom",,,Vets4Pets,Competitive Salary,We have an exciting opportunity for a Veterinary Surgeon to come and join our friendly team at Gamston Vets4Pets. Situated in the heart of communit...
Lead Veterinary Surgeon,"Nottingham, United Kingdom",,,Vets4Pets,Competitive Salary,Looking to make your move into leadership? With a package up to £80K (DOE) our Clinical Director role might just be your next step! At Gamston Vets...
Veterinary Surgeon,"Liverpool Old Swan, United Kingdom",,,Vets4Pets,Competitive Salary,"If you are an enthusiastic Veterinary Surgeon looking to join a warm and friendly team, then we would love to hear from you here at Liverpool Old S..."
Veterinary Surgeon,"County Durham, United Kingdom",,,Vets4Pets,Competitive Salary,"Full time Vet Surgeon role, Flexible hours, no OOH, Salary from £45K, Darlington Vets4Pets Are you a Vet looking for a role that can be flexible ar..."
Consultations Veterinary Surgeon (Hospital),"London, United Kingdom",60000,60000,Village Vet,"£60,000 per annum, Up to, depending on experience","""To be recognized as an exceptional and trusted provider of primary veterinary care to our patients and clients within the communities that we ser..."
Veterinary Surgeon,"Southam, United Kingdom",2000,68000,Avonvale Veterinary Centres,"£68,000 per annum, £2,000 welcome bonus, Salary up to and depending on experience","We have 7 RCVS accredited surgeries and a central hospital in Warwick. We have many vets with a variety of interests including orthopaedics, acupu..."
Veterinary Surgeon,"Gloucester, United Kingdom",4000,63000,AAS Veterinary Services,"£63,000 per annum, Plus £4,000 welcome bonus, Salary up to and depending on experience","We have a multi-site practice in Gloucestershire, with branches in Abbeydale, Quedgeley, Stroud and Hucclecote. We have 25 years of experience in..."
Veterinary Surgeon,"Dorset, United Kingdom",,,Vets4Pets,Competitive Salary,"Having recently taken on the ownership of Dorchester Vets4Pets, Jordan and Lauren are now looking for another vet colleague to join our growing tea..."
Veterinary Surgeon,"Buckinghamshire, United Kingdom",,,Vets4Pets,Competitive Salary,"High At High Wycombe Vets for Pets, we are proud of our RCVS Practice Standards accreditation, but we are also proud of our culture and ethos. We n..."
Veterinary Surgeon,"Essex, United Kingdom",,,Vets4Pets,Competitive Salary,We have a fantastic opportunity for a confident Small Animal Vet to become part of our incredible team across Saffron Walden & Haverhill Vets for P...
Veterinary Surgeon,"Oxfordshire, United Kingdom",,,Vets4Pets,Competitive Salary,"Our established and friendly practices in Abingdon, Oxford Botley Road and Newbury are looking for a Veterinary Surgeon to join their multi-site te..."
Veterinary Surgeon,"West Midlands, United Kingdom",,,Vets4Pets,Competitive Salary,"We are looking for an experienced veterinary surgeon on a full or part time basis, to join us in our friendly community orientated standalone pract..."
Veterinary Surgeon,"Perth & Kinross, United Kingdom",,,Vets4Pets,Competitive Salary,"Full or Part Time flexible hours, salary up to £60k, relocation up to £5k, friendly, welcoming team. We have a wonderful, friendly, longstanding te..."
"Veterinary Surgeon - Low Fell, Gateshead","Low Fell, Gateshead",40000,55000,Medivet,"£40,000 - £55,000 per year","£40,000 - £55,000 per year"
Equine Veterinary Surgeon,"Great Ayton, Middlesbrough, Stokesley, North Yorkshire",60000,60000,Hambleton Equine Clinic Ltd,"Salary up to £60,000 dependent on experience",We are recruiting an Equine Veterinary Surgeon to join our highly dedicated team in our state-of-the-art equine clinic.
Veterinary Surgeon,"Essex, United Kingdom",,,Vets4Pets,Competitive Salary,We are looking for a veterinary Surgeon to join our team in Basildon Pitsea We are a 24-hour RCVS small animal accredited hospital and emergency se...
Veterinary Surgeon,"Norfolk, United Kingdom",,,Vets4Pets,Competitive Salary,Our Norwich Vets for Pets practices are looking for an experienced Vet to help with our increasing caseload. We are a large small animal first opin...
Veterinary Surgeon,"Northamptonshire, United Kingdom",,,Vets4Pets,Competitive Salary,"If you're looking for a flexible vet role where you can develop your skills and pursue areas of interest, then we have a great opportunity here for..."
Veterinary Surgeon,"North Yorkshire, United Kingdom",,,Vets4Pets,Competitive Salary,"Our Scarborough team are seeking an experienced, forward-thinking vet to work 35 hours per week. We are a progressive practice and have ambitions t..."
Veterinary Surgeon,"Ashby-De-La-Zouch, United Kingdom",5000,65000,Woodward Veterinary Practice,"£65,000 per annum, £5,000 welcome bonus, Salary up to and depending on experience","Here at Woodward Veterinary Practice, we have an outstanding, purpose-built, modern practice. We are well equipped with a brand-new X-ray machine,..."
Emergency Veterinary Surgeon - Home Visiting,London and Greater London,70000,70000,Emergency Home Vet,"Salary £70,000 Per annum, plus bonus",Home Visiting OOH Emergency Vet in London. Bonus scheme and excellent work life balance.
"Veterinary Surgeon - Darlington, Stanhope Road","Darlington, Durham",40000,60000,Medivet,"£40,000 - £60,000 per year","£40,000 - £60,000 per year"
Veterinary Surgeon - Goldthorpe,"Goldthorpe, Rotherham",45000,45000,Medivet,"Up to £45,000 per year","Up to £45,000 per year"
Veterinary Surgeon,"Whittlesford, United Kingdom",60000,60000,Village Vet,"£60,000 per annum, Up to, depending on experience",To be recognised as an exceptional and trusted provider of primary veterinary care to our patients and clients within the communities that we serve...
Veterinary Surgeon (Fixed Term),"Whittlesford, United Kingdom",60000,60000,Village Vet,"£60,000 per annum, Up to, depending on experience",To be recognised as an exceptional and trusted provider of primary veterinary care to our patients and clients within the communities that we serve...
Graduate Veterinary Surgeon - Graduate Development Programme,"Essex, United Kingdom",,,Vets4Pets,Competitive Salary,Get practice ready with Vets for Pets and Companion Care Thurrock Vets for Pets is looking for a new or recently graduated vet to join their team a...
Graduate Veterinary Surgeon - Graduate Development Programme,"Staffordshire, United Kingdom",,,Vets4Pets,Competitive Salary,Get practice ready with Vets for Pets and Companion Care Lichfield Vets for Pets are looking for a Graduate Veterinary Surgeon to join their fantas...
Lead Veterinary Surgeon,"Avon, United Kingdom",,,Vets4Pets,Competitive Salary,"""Great service and very helpful and knowledgeable staff. Thank you for all your help."" Our clients love us, and we think you will too! We have an u..."
Veterinary Surgeon,"Norfolk, United Kingdom",,,Vets4Pets,Competitive Salary,Our Norwich Vets for Pets practices are looking for an experienced Vet to help with our increasing caseload. We are a large small animal first opin...
Veterinary Surgeon,"South Yorkshire, United Kingdom",,,Vets4Pets,Competitive Salary,Our amazing Small Animal veterinary practice is now offering a fantastic opportunity for a new Veterinary Surgeon to join our Sheffield Birley Moor...
Veterinary Surgeon,"Cheshire, United Kingdom",,,Vets4Pets,Competitive Salary,Join our state of the art practice in Handforth and you will have the clinical freedom to pursue your area of interest in a growing business. With...
Veterinary Surgeon,"Tameside, United Kingdom",,,Vets4Pets,Competitive Salary,"Since opening in 2000, the Ashton Vets for Pets in Greater Manchester which is locally owned surgery has worked hard to provide the community with..."
Veterinary Surgeon,"Greater Manchester, United Kingdom",,,Vets4Pets,Competitive Salary,"Veterinary Surgeon- Walkden (no weekends or Out of Hours) Salary - Up to £52,000 plus benefits and sign on bonus £2,000 This is an opportunity for..."
Consult only Veterinary Surgeon,"West Yorkshire, United Kingdom",,,Vets4Pets,Competitive Salary,Leeds Birstall 24/7 hospital are looking for a CONSULT ONLY Veterinarian. This is a part time role (20-25 hours per week) offering flexibility in a...
Veterinary Surgeon,"Bolton Horwich, United Kingdom",,,Vets4Pets,Competitive Salary,Bolton Companion Care are looking for a friendly vet to join their team on a part time basis! Bolton is located just 30 mins Northwest of Mancheste...
Veterinary Surgeon,"Lancashire, United Kingdom",,,Vets4Pets,Competitive Salary,Do you want to work with an AMAZINGLY AWESOMELY SUPREMELY TALENTED world-renowned vet and their team in the heart of Lancashire? I'm not sure if sh...
"Veterinary Surgeon - Winterton, Lincolnshire","Winterton, Lincolnshire",40000,72000,Medivet,"£40,000 - £72,000 per year","Vet role for a branch of the regional hospital, competitive salary, great team and CPD opportunities."
Night Veterinary Surgeon - Skeldale Thirsk 24 Hour Hospital,"Thirsk, North Yorkshire",32000,32000,Medivet,"Up to £32,000 per year","Up to £32,000 per year. 1 week in 6 rotation"
Veterinary Surgeon,"Leominster, Herefordshire",65000,65000,Medivet,"Salary package up to £65,000 per annum","Veterinary Surgeon, Leominster - Salary package up to £65,000 per annum"
Veterinary Surgeon,"Devon, United Kingdom",,,Vets4Pets,Competitive Salary,How does working in a practice where the whole team are passionate about preventative health care sound to you? What if you could be part of this t...
Veterinary Surgeon,"Surrey, United Kingdom",,,Vets4Pets,Competitive Salary,"Due to the continued success of Croydon Companion Care, our partner Obi Amazu and Practice Manager and Head RVN Katie Smithers have exciting opport..."
Veterinary Surgeon,"Wiltshire, United Kingdom",,,Vets4Pets,Competitive Salary,We are currently seeking a new graduate Veterinary Surgeon to join our friendly and vivacious team. As a rapidly expanding and standalone small ani...
Graduate Veterinary Surgeon - Graduate Development Programme,"Wiltshire, United Kingdom",,,Vets4Pets,Competitive Salary,Get practice ready with Vets for Pets and Companion Care Amesbury Vets for Pets is looking for a new or recently graduated vet to join their team a...
Veterinary Surgeon,"Berkshire, United Kingdom",,,Vets4Pets,Competitive Salary,Slough Vets4Pets has relocated and we are now looking for a vet to join our expanding team in our new practice! Situated inside one of our new conc...
Veterinary Surgeon,"Bedfordshire, United Kingdom",,,Vets4Pets,Competitive Salary,"Luton Vets4Pets are looking for a Vet to join their long standing, supportive team and achieve all their career goals. Mark and our other colleague..."
Veterinary Surgeon,"Gloucestershire, United Kingdom",,,Vets4Pets,Competitive Salary,"""Teamwork is our speciality. We have a fantastic team spirit, and we work hard to ensure that we are all looked after and feel appreciated."" Clare..."
Veterinary Surgeon,"London, United Kingdom",55000,55000,Village Vet,"£55,000 per annum, Up to, depending on experience",Exciting new Veterinary Surgeon position for our multi vet Winchmore Hill practice in north London. Village Vet is a well-respected and renowned pr...
Veterinary Surgeon,"Leigh, United Kingdom",60000,60000,Linnaeus,"£60,000, Up to and Depending on experience","The practice is friendly, forward thinking and encourages career progression through various CPD avenues, many of our current staff have or are pa..."
Veterinary Surgeon,"West Yorkshire, United Kingdom",,,Vets4Pets,Competitive Salary,We have an exciting opportunity for a Veterinary Surgeon to come and join our friendly team at Wakefield Vets for Pets. Our purpose-built standalon...
Veterinary Surgeon - Washingborough,"Washingborough, Lincoln",40000,72000,Medivet,"£40,000 - £72,000 per year","Vet surgeon, established practice with a great support team, £40,000 - £72,000 per year"
Veterinary Surgeon,"Barnstaple, Devon",45000,60000,Vets4Pets,"Salary £45,000 to £60,000 dependent on experience","We have an unmissable opportunity for a veterinary surgeon to join our small team in fabulous Barnstaple. You will be joining Partner and Vet, Aimi..."
Veterinary Surgeon,"Kingsthorpe, Northampton",70000,70000,Rhodes Veterinary Surgery,"Salary up to £70,000 depending on experience","We are looking for an experienced veterinary surgeon join our friendly, supportive, forward thinking team across 2 branches."
Graduate Veterinary Surgeon - Graduate Development Programme,"Guernsey, United Kingdom",,,Vets4Pets,Competitive Salary,Get practice ready with Vets for Pets and Companion Care Guernsey St Martins Vets for Pets is looking for a new or recently graduated vet to join t...
Veterinary Surgeon,"Tamworth, United Kingdom",,,Vets4Pets,Competitive Salary,We are seeking an experienced and enthusiastic Vet to join our well established team at Companion Care Tamworth! You'll be working from our recentl...
Clinical Lead Veterinary Surgeon,"Tamworth, United Kingdom",,,Vets4Pets,Competitive Salary,OPPORTUNITY FOR CLINICAL LEAD VETERINARY SURGEON We are seeking a Clinical Lead Veterinary Surgeon who will continue to develop a superb first opin...
Graduate Veterinary Surgeon - Graduate Development Programme,"County Durham, United Kingdom",,,Vets4Pets,Competitive Salary,Get practice ready with Vets for Pets and Companion Care Darlington Vets for Pets is looking for a new or recently graduated vet to join their team...
Veterinary Surgeon,"Tyneside, United Kingdom",,,Vets4Pets,Competitive Salary,"SOUTH SHIELDS VETS4PETS VETERINARY SURGEON: £39,000 - £55,000 DOE Vets4pets at the Nook in South Shields are currently going through a very excitin..."
Veterinary Surgeon,"Ferndown, Dorset",65000,65000,St Mary's Veterinary Clinic Ltd,"Salary up to £65,000 depending on experience",We are looking for an enthusiastic and dedicated Veterinary Surgeon to join our team.
Veterinary Surgeon,"Luton, Bedfordshire",65000,65000,Biscot Mill Vet Centre,"Salary up to £65,000 depending on experience","We are currently looking for a Veterinary Surgeon to join our friendly, forward-thinking team at Biscot Mill Vet Centre in Luton, Bedfordshire."
Veterinary Surgeon,"Warwick, United Kingdom",2000,68000,Avonvale Veterinary Centres,"£68,000 per annum, £2,000 welcome bonus, Salary up to and depending on experience","Based in the sought-after area of Warwickshire - with some of the top schools in the UK have the best on both worlds with historic castles, beauti..."
Graduate Veterinary Surgeon - Graduate Development Programme,"Northamptonshire, United Kingdom",,,Vets4Pets,Competitive Salary,"Our Support, Your Future Join our 2024 Graduate Development Programme Our award-winning, 2-year programme is designed by vets to give new graduates..."
Veterinary Surgeon,"Merseyside, United Kingdom",,,Vets4Pets,Competitive Salary,"If you're looking for a flexible vet role where you can develop your skills and pursue areas of interest, then we have a great opportunity here for..."
Veterinary Surgeon,"West Yorkshire, United Kingdom",,,Vets4Pets,Competitive Salary,Are you a vet looking for an opportunity to progress in your career? Are you interested in pursuing your clinical interests or completing a certifi...
Veterinary Surgeon,"Southampton, Hampshire",65000,65000,Pet Doctors,"Salary up to £65,000 depending on experience","We are looking for a veterinary surgeon to join us on a permanent basis, all levels of experience considered."
part time/weekend veterinary surgeon.,"Worksop, United Kingdom",,,Wildbore Vetstop,Attractive Salary plus Benefits,Our purpose-built hospital has 8 consulting rooms including 2 dedicated cat rooms with cat only waiting area. We also have a separate consulting r...
Veterinary Surgeon,"Sudbury, Suffolk",70000,70000,Mulberry Vets,"Salary up to £70,000 depending on experience",Mulberry Vets in Sudbury have an exciting opportunity for a dedicated veterinary surgeon to join our well-established practice on a permanent basis.
Graduate Veterinary Surgeon - Graduate Development Programme,"Dorset, United Kingdom",,,Vets4Pets,Competitive Salary,Get practice ready with Vets for Pets and Companion Care Weymouth Vets for Pets is looking for a new or recently graduated vet to join their team a...
Veterinary Surgeon,"Hampshire, United Kingdom",,,Vets4Pets,Competitive Salary,"Due to the growth and expansion, we are excited to open an opportunity for an experienced, friendly and enthusiastic vet to join us at Farnborough..."
Clinical Lead,"Norfolk, United Kingdom",,,Vets4Pets,Competitive Salary,"Looking to step into leadership? With a salary starting at £60,000 Clinical Lead might just be your next move! At Norwich Longwater Vets for Pets w..."
Weekend Veterinary Surgeon,"Cambridgeshire, United Kingdom",,,Vets4Pets,Competitive Salary,"Are you looking for a part-time, flexible, role in a progressive, supportive work environment? A practice where patient care and welfare is a prior..."
Veterinary Surgeon,"Cambridgeshire, United Kingdom",,,Vets4Pets,Competitive Salary,"Are you a vet looking for a flexible, progressive, supportive work environment? A practice where patient care and welfare is a priority? Do you wan..."
Veterinary Surgeon,"West Yorkshire, United Kingdom",,,Vets4Pets,Competitive Salary,Come and join our wonderful team at Pusey vets for pets. Pudsey Vets for Pets is a well-established practice situated in West Yorkshire. Pudsey is...
Veterinary Surgeon,"West Yorkshire, United Kingdom",60000,60000,Vets4Pets,"Salary up to £60,000 depending on experience","Veterinary Surgeon, Part or Full Time due to expansion- Bradford Idle Vets4Pets We are the original Vets4Pets practice! Our Head Nurse and Practice..."
Veterinary Surgeon,"Stowmarket, Suffolk",75000,75000,Cedarwood Veterinary Practice,"Salary up to £75,000 depending on experience",Here at Cedarwood Veterinary Practice we are looking for a Veterinary Surgeon to join our team!
Veterinary Surgeon,"Thame, Oxfordshire",68000,68000,Sprinz and Nash Veterinary Surgeons,"Salary up to £68,000 FTE depending on experience",We are looking for a full-time or part-time Veterinary Surgeon to join our dedicated and supportive team.
Mixed Veterinary Surgeon,"Aberlour, Moray",65000,65000,Speyside Veterinary Practice,"Salary up to £65,000 depending on experience",Speyside Vets are currently looking for an experienced Mixed Veterinary Surgeon to join our practice in Aberlour.
Veterinary Surgeon - Littlehampton,"Littlehampton, West Sussex",45000,55000,Medivet,"£45,000 - £55,000","Veterinary Surgeon - Littlehampton. Salary ranging from £45,000 - £55,000 + Benefits."
Graduate Veterinary Surgeon,"Kingston upon Hull, East Riding of Yorkshire",34000,34000,Kingston Veterinary Group - Park Street,"Salary £34,000 for year 1 increasing in year 2","Small Animal Graduate Veterinary Surgeon position based in Hull, East Yorkshire"
Lead Veterinary Surgeon – Wimborne,"Wimborne, Dorset",70000,70000,Medivet,"up to £70,000","Lead Veterinary Surgeon – Wimborne Up to £70,000 DOE Medivet Wimborne is a busy, small animal first opinion practice with a loyal client base and e..."
Veterinary Surgeon - Medivet Wool,Dorset,50000,65000,Medivet,"£50,000 - £65,000",Veterinary Surgeon - Medivet Wool - Full Time - Relocation allowances should you move more than 50 miles from your current home address
Graduate Veterinary Surgeon,"Backworth, Tyne and Wear",34000,34000,Moorview Vets,"The salary is £34,000 for year 1 increasing in year 2","We are looking for a new Graduate Veterinary Surgeon, eligible to register with the RCVS."
